gene_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
MSTRG.10|TcCL_NonESM10836,2,2,4,3,6,19
TrSC58v2_2|TcCL_NonESM10836,0,0,0,10,5,23
MSTRG.9|TcCL_Unassigned06710,2,0,0,1,0,1
TrSC58v2_1|TcCL_Unassigned06710,1,0,0,1,0,2
MSTRG.2|HSP100,14,16,43,54,24,107
TrSC58v2_3|HSP100,10,13,1,45,18,80
MSTRG.15|ppp2r3c,5,3,5,10,6,18
TrSC58v2_11|ppp2r3c,0,0,5,8,5,15
MSTRG.16|TRSC58_00529,3,11,14,26,5,58
TrSC58v2_16|TRSC58_00529,0,10,13,21,4,48
MSTRG.17|RPL44,17,11,30,40,27,127
TrSC58v2_12|RPL44,1,10,23,32,21,104
MSTRG.18,4,9,22,12,24,59
TrSC58v2_13|TcCLB.507105.50,4,4,1,1,1,11
MSTRG.18|TcCLB.507105.50,7,4,7,14,7,45
TrSC58v2_14|TcCLB.507105.50,1,1,2,1,1,15
TrSC58v2_15|TcCLB.507105.50,1,1,5,1,5,21
MSTRG.19|ndvA,7,2,11,20,26,51
TrSC58v2_17|ndvA,5,1,10,17,23,44
MSTRG.20|SA85-1.1,1,7,11,12,8,18
TrSC58v2_18|SA85-1.1,1,5,9,11,7,16
TrSC58v2_9455,0,0,1,1,0,3
MSTRG.3,0,0,1,1,0,3
TrSC58v2_9457,0,0,2,2,0,2
MSTRG.4,0,0,2,3,0,3
TrSC58v2_9456,0,0,2,2,0,2
MSTRG.5,0,0,2,3,0,3
TrSC58v2_8,0,0,0,2,1,1
MSTRG.11,0,0,0,2,1,1
TrSC58v2_4|PHLC,2,0,2,1,1,1
MSTRG.7|PHLC,0,0,2,1,2,1
MSTRG.6|TRSC58_06771,3,4,8,23,7,50
TrSC58v2_5|TRSC58_06771,2,3,0,1,1,2
MSTRG.1|TCSYLVIO_011088,3,5,2,1,1,9
TrSC58v2_6|TCSYLVIO_011088,2,0,1,1,1,9
MSTRG.8|Tc_MARK_3892,9,4,19,10,7,35
TrSC58v2_7|Tc_MARK_3892,3,3,3,1,1,30
MSTRG.12|Lamb1,8,11,34,61,13,43
TrSC58v2_9|Lamb1,0,8,1,1,10,38
TrSC58v2_10|Copb2,8,6,19,37,25,96
MSTRG.13|Copb2,6,7,19,42,29,107
MSTRG.22|SA85-1.1,7,10,10,22,13,48
TrSC58v2_20|SA85-1.1,6,8,5,18,10,36
MSTRG.25|LPG1,2,2,4,5,9,11
MSTRG.21|SA85-1.1,3,7,21,21,15,32
TrSC58v2_19|SA85-1.1,2,5,14,18,12,31
MSTRG.24|GP85,2,0,0,0,0,2
TrSC58v2_22|GP85,0,0,0,0,0,1
MSTRG.27|LPG1,2,2,4,4,9,11
MSTRG.29|LPG1,2,2,4,4,9,10
MSTRG.33|TcCLB.510431.110,3,4,4,4,12,11
TrSC58v2_31|TcCLB.510431.110,0,0,3,0,0,9
MSTRG.35|TRSC58_02166,5,4,0,6,5,21
TrSC58v2_33|TRSC58_02166,4,1,0,0,5,29
MSTRG.36|Dyrk3,9,5,12,13,16,35
TrSC58v2_34|Dyrk3,0,4,0,12,14,31
MSTRG.31|Dcaf1,7,4,19,17,20,40
TrSC58v2_29|Dcaf1,6,0,13,16,19,31
MSTRG.37|abcD2,13,2,10,35,9,24
TrSC58v2_35|abcD2,0,1,8,2,6,14
MSTRG.38|NOG1,11,17,26,71,35,108
TrSC58v2_36|NOG1,10,15,22,63,33,99
MSTRG.40|TRSC58_05754,17,8,15,24,6,45
TrSC58v2_38|TRSC58_05754,14,7,0,20,5,40
MSTRG.44|HTD1,12,9,14,42,20,46
TrSC58v2_42|HTD1,2,7,12,2,18,41
MSTRG.46|C3747_1g413,6,6,9,9,11,35
TrSC58v2_44|C3747_1g413,0,5,7,8,10,31
MSTRG.47|prs,17,4,15,13,9,37
TrSC58v2_45|prs,0,0,14,13,6,33
MSTRG.41|TcYC6_0072100,19,11,31,14,13,56
TrSC58v2_39|TcYC6_0072100,14,10,0,11,11,45
MSTRG.48|TRSC58_07084,2,0,0,2,0,9
TrSC58v2_46|TRSC58_07084,0,0,0,0,0,0
MSTRG.52|TRSC58_00967,4,8,8,5,6,39
TrSC58v2_50|TRSC58_00967,0,0,7,4,1,3
MSTRG.50|PRORP2,4,7,3,13,5,32
TrSC58v2_48|PRORP2,0,1,3,10,4,29
MSTRG.51|RPL37,17,3,10,22,22,97
TrSC58v2_49|RPL37,14,3,10,19,17,83
MSTRG.53|SA85-1.1,3,1,12,9,7,27
TrSC58v2_51|SA85-1.1,0,1,11,8,6,22
MSTRG.56|Armc2,6,4,17,16,7,59
TrSC58v2_54|Armc2,5,0,3,12,5,8
MSTRG.57|TRSC58_01412,5,0,0,0,0,7
TrSC58v2_55|TRSC58_01412,4,0,0,0,0,1
MSTRG.58|TRSC58_02461,12,3,19,41,17,73
TrSC58v2_56|TRSC58_02461,8,0,13,35,15,65
MSTRG.60|TRSC58_02068,2,12,11,9,7,46
TrSC58v2_58|TRSC58_02068,1,0,0,2,1,3
MSTRG.61|TRSC58_05622,5,2,20,25,13,39
TrSC58v2_59|TRSC58_05622,2,2,16,20,11,36
MSTRG.66|TRSC58_00303,3,5,14,54,28,78
TrSC58v2_64|TRSC58_00303,1,4,11,0,19,61
MSTRG.67|KIN7N,4,4,11,12,5,31
TrSC58v2_65|KIN7N,0,0,10,10,3,26
MSTRG.69|sconB,3,3,14,10,11,39
TrSC58v2_66|sconB,0,2,13,2,10,33
MSTRG.63|At1g08940,5,4,11,35,11,16
TrSC58v2_61|At1g08940,4,0,0,0,0,14
MSTRG.73,5,0,7,8,8,43
MSTRG.72|TRSC58_00034,10,22,17,82,28,124
TrSC58v2_69|TRSC58_00034,9,19,14,2,25,104
MSTRG.74|C3747_1g435,3,7,7,14,15,20
TrSC58v2_70|C3747_1g435,0,5,5,11,11,14
MSTRG.75|TRSC58_02691,5,0,8,21,11,15
TrSC58v2_71|TRSC58_02691,0,0,6,17,8,13
MSTRG.81|C4B63_2g410,3,7,13,11,9,50
TrSC58v2_77|C4B63_2g410,0,2,3,9,8,47
MSTRG.82|TRSC58_00451,4,0,8,33,0,39
TrSC58v2_78|TRSC58_00451,0,0,0,1,0,3
MSTRG.78|CFAP91,5,7,25,39,23,83
TrSC58v2_74|CFAP91,4,5,18,2,20,67
MSTRG.86|galE,3,4,12,19,5,13
TrSC58v2_82|galE,1,0,0,0,0,0
MSTRG.84|LEA3,4,3,14,16,7,24
TrSC58v2_80|LEA3,3,1,4,15,6,23
MSTRG.87|TRSC58_01764,4,4,3,11,8,27
TrSC58v2_83|TRSC58_01764,0,0,1,9,0,11
MSTRG.85|TRSC58_01634,8,8,22,11,25,159
TrSC58v2_81|TRSC58_01634,7,6,16,10,1,3
MSTRG.88|sna41,4,0,11,9,14,22
TrSC58v2_84|sna41,3,0,1,8,10,18
MSTRG.89|TcYC6_0072550,3,10,4,10,18,47
TrSC58v2_85|TcYC6_0072550,0,8,0,7,16,36
MSTRG.91|oxct1,21,16,19,27,14,61
TrSC58v2_87|oxct1,1,1,16,25,11,55
MSTRG.151|Dnajb8,7,4,5,4,12,19
TrSC58v2_151|Dnajb8,5,0,4,1,2,17
MSTRG.152|TRSC58_02377,4,7,4,10,15,53
TrSC58v2_152|TRSC58_02377,1,2,1,9,14,45
MSTRG.153|arfB,2,3,4,5,4,15
TrSC58v2_153|arfB,1,1,0,2,0,2
MSTRG.154|Y57A10A.29,4,7,10,15,5,24
TrSC58v2_154|Y57A10A.29,2,2,9,13,4,19
MSTRG.155|DQ04_01731080,4,7,13,3,12,30
TrSC58v2_155|DQ04_01731080,3,6,9,3,8,30
MSTRG.157|TIA1,7,13,30,48,28,106
TrSC58v2_157|TIA1,5,10,23,38,26,101
MSTRG.159|TRSC58_00685,4,0,4,0,23,47
TrSC58v2_159|TRSC58_00685,0,0,3,0,0,3
MSTRG.162|emc4,3,4,9,5,5,24
TrSC58v2_162|emc4,1,1,0,1,5,17
MSTRG.160|TRSC58_03456,6,4,13,32,11,39
TrSC58v2_160|TRSC58_03456,0,3,11,12,9,31
MSTRG.165|C3747_89g170,6,3,6,8,6,4
TrSC58v2_165|C3747_89g170,4,3,4,7,2,3
MSTRG.166,11,8,14,33,24,51
MSTRG.167|IMPA6,7,11,29,53,36,100
TrSC58v2_166|IMPA6,6,0,21,44,34,85
MSTRG.168|NOM1,8,10,8,16,14,40
TrSC58v2_167|NOM1,0,9,6,13,13,32
MSTRG.172|snrpe,3,5,5,5,4,6
TrSC58v2_171|snrpe,1,2,4,5,3,6
MSTRG.169|TRSC58_03511,9,14,27,14,17,70
TrSC58v2_168|TRSC58_03511,6,11,24,12,14,54
MSTRG.171|UBP4,11,2,5,5,15,46
TrSC58v2_170|UBP4,9,1,5,55,11,37
MSTRG.173|Ttd14,2,4,17,9,9,13
TrSC58v2_172|Ttd14,2,2,0,8,0,11
MSTRG.175|CCB23,6,7,8,13,16,29
TrSC58v2_174|CCB23,2,0,0,12,3,24
MSTRG.174|HEL2,6,11,16,40,4,27
TrSC58v2_173|HEL2,5,9,12,36,4,24
MSTRG.176|TRSC58_00948,9,8,22,35,20,100
TrSC58v2_175|TRSC58_00948,7,7,21,26,16,85
TrSC58v2_91.t1.e1|Tc_MARK_6516,0,0,0,0,0,0
TrSC58v2_91|Tc_MARK_6516,0,0,0,0,0,0
TrSC58v2_96|dph2,0,0,6,9,8,21
MSTRG.99|dph2,0,0,8,14,11,25
TrSC58v2_97|TRSC58_01149,0,0,1,1,1,14
MSTRG.100|TRSC58_01149,0,3,11,10,21,18
TrSC58v2_103|TRSC58_06629,0,0,0,1,9,10
MSTRG.107|TRSC58_06629,0,7,0,16,10,11
TrSC58v2_106|rsph9,0,0,4,0,2,30
MSTRG.110|rsph9,0,3,5,29,9,41
TrSC58v2_109|rrp12,0,11,19,36,10,43
MSTRG.113|rrp12,0,13,26,44,13,49
TrSC58v2_110|ypwA,0,1,20,18,18,52
MSTRG.114|ypwA,0,15,24,21,21,60
TrSC58v2_113|TRSC58_03401,0,0,1,0,1,8
MSTRG.117|TRSC58_03401,0,0,4,2,1,9
TrSC58v2_117|TBCCD1,0,0,4,13,5,20
MSTRG.118|TBCCD1,0,0,5,19,6,23
TrSC58v2_120|TRSC58_01623,0,0,1,0,0,14
MSTRG.122|TRSC58_01623,0,8,10,21,13,17
MSTRG.121,0,0,0,15,19,58
TrSC58v2_123|TcYC6_0095680,0,2,0,7,1,10
MSTRG.125|TcYC6_0095680,0,5,4,8,3,10
TrSC58v2_124|TRSC58_02601,0,0,4,0,4,5
MSTRG.126|TRSC58_02601,0,0,4,9,8,7
TrSC58v2_128|TcYC6_0095740,0,0,1,2,1,3
MSTRG.130|TcYC6_0095740,0,0,5,6,10,27
TrSC58v2_131|TcYC6_0095760,0,4,5,2,0,30
MSTRG.131|TcYC6_0095760,0,5,6,12,0,37
TrSC58v2_132|pkbA,0,0,8,8,8,14
MSTRG.132|pkbA,0,13,9,10,12,18
TrSC58v2_133|TRSC58_07055,0,2,2,8,16,19
MSTRG.133|TRSC58_07055,0,6,6,9,18,21
TrSC58v2_134|At5g44450,0,2,1,1,0,21
MSTRG.134|At5g44450,0,5,3,9,0,25
TrSC58v2_138|UXS2,0,0,3,2,2,25
MSTRG.138|UXS2,0,0,9,9,3,27
TrSC58v2_143|TRSC58_02468,0,0,0,4,8,11
MSTRG.143|TRSC58_02468,0,0,5,6,9,13
TrSC58v2_144|DQ04_00971070,0,0,3,4,10,8
MSTRG.144|DQ04_00971070,0,7,24,29,11,16
TrSC58v2_147|At5g47540,0,3,4,13,0,1
MSTRG.147|At5g47540,0,3,5,16,11,77
TrSC58v2_150|TRSC58_05598,0,0,0,18,4,13
MSTRG.150|TRSC58_05598,0,4,3,22,4,16
MSTRG.92|oxct1,19,15,18,26,14,59
TrSC58v2_88|oxct1,2,1,16,24,11,52
MSTRG.93|oxct1,11,14,18,24,14,57
TrSC58v2_89|oxct1,8,1,16,22,11,49
MSTRG.94|oxct1,11,8,18,25,14,56
TrSC58v2_90|oxct1,8,6,16,22,12,49
MSTRG.95|TRSC58_05084,10,19,18,50,31,48
TrSC58v2_92|TRSC58_05084,8,0,15,2,3,42
MSTRG.96|GORASP2,12,10,28,23,15,45
TrSC58v2_93|GORASP2,0,8,25,21,12,41
MSTRG.97|trap1,8,9,19,33,21,72
TrSC58v2_94|trap1,5,8,16,28,19,65
MSTRG.98|NSN1,7,16,8,6,12,37
TrSC58v2_95|NSN1,0,0,0,1,10,4
MSTRG.102|TcCLB.504153.280,25,21,47,78,39,155
TrSC58v2_98|TcCLB.504153.280,1,19,42,75,36,143
MSTRG.101,2,24,43,36,19,124
MSTRG.103|TRSC58_04187,7,7,13,53,28,46
TrSC58v2_99|TRSC58_04187,5,5,11,36,23,42
MSTRG.104|TRSC58_04978,3,5,14,29,17,43
TrSC58v2_100|TRSC58_04978,0,0,12,27,16,35
MSTRG.105|TRSC58_03250,4,0,22,8,5,24
TrSC58v2_101|TRSC58_03250,0,0,1,0,4,10
MSTRG.106|TRSC58_00333,4,6,6,4,11,39
TrSC58v2_102|TRSC58_00333,3,5,5,0,9,29
MSTRG.108|RAD51C,2,4,1,5,1,20
TrSC58v2_104|RAD51C,1,3,1,3,1,19
MSTRG.109|Tc_MARK_6228,7,2,5,19,2,15
TrSC58v2_105|Tc_MARK_6228,0,1,0,0,1,13
MSTRG.111|TRSC58_04854,8,11,21,27,25,76
TrSC58v2_107|TRSC58_04854,6,9,18,24,22,72
MSTRG.112|GLCNAC1PUT2,4,7,12,22,22,40
TrSC58v2_108|GLCNAC1PUT2,4,0,9,18,2,33
MSTRG.115|unc-104,25,15,35,77,40,171
TrSC58v2_111|unc-104,21,12,26,60,32,21
MSTRG.116|Npepl1,7,5,13,7,7,31
TrSC58v2_112|Npepl1,1,4,12,1,5,27
MSTRG.119|DYH1B,20,21,32,121,93,334
TrSC58v2_118|DYH1B,15,19,29,97,83,285
MSTRG.120|ttll-12,3,0,0,9,3,14
TrSC58v2_119|ttll-12,0,0,0,7,3,9
MSTRG.123|grpE,4,10,12,16,22,36
TrSC58v2_121|grpE,0,2,10,6,18,3
MSTRG.124|kif3,6,6,10,27,5,42
TrSC58v2_122|kif3,5,5,10,22,0,33
MSTRG.127|TcYC6_0095700,3,4,11,10,6,30
TrSC58v2_125|TcYC6_0095700,0,0,1,1,1,6
MSTRG.128|DJ1B,17,6,17,38,23,89
TrSC58v2_126|DJ1B,15,6,14,34,20,74
MSTRG.129|aarA,8,6,21,51,16,76
TrSC58v2_127|aarA,7,5,16,46,12,63
MSTRG.135|TRSC58_02576,6,4,9,28,11,28
TrSC58v2_135|TRSC58_02576,4,0,7,25,9,23
MSTRG.136|TRSC58_01999,9,7,4,21,9,30
TrSC58v2_136|TRSC58_01999,2,2,1,19,8,26
MSTRG.137|yqeH,9,9,6,28,11,29
TrSC58v2_137|yqeH,8,8,5,18,9,25
MSTRG.139|ADK,4,0,14,5,4,25
TrSC58v2_139|ADK,0,0,0,0,4,1
MSTRG.140|Ube3c,15,4,22,33,26,147
TrSC58v2_140|Ube3c,0,1,17,31,21,8
MSTRG.141|TRSC58_00987,8,5,4,19,4,38
