transcript_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_2.t1.e1,2,2,4,3,6,19
TrSC58v2_2.t1,0,0,0,10,5,23
TrSC58v2_1.t1.e1,2,0,0,1,0,1
TrSC58v2_1.t1,1,0,0,1,0,2
TrSC58v2_3.t1.e1,14,16,43,54,24,107
TrSC58v2_3.t1,10,13,1,45,18,80
TrSC58v2_11.t1.e1,5,3,5,10,6,18
TrSC58v2_11.t1,0,0,5,8,5,15
TrSC58v2_16.t1.e1,3,11,14,26,5,58
TrSC58v2_16.t1,0,10,13,21,4,48
TrSC58v2_12.t1.e1,17,11,30,40,27,127
TrSC58v2_12.t1,1,10,23,32,21,104
MSTRG.18.1,2,3,15,12,10,19
TrSC58v2_13.t1,4,4,1,1,1,11
TrSC58v2_13.t1.e1,1,0,1,1,2,15
MSTRG.18.3,2,6,7,0,14,40
TrSC58v2_14.t1.e1,2,3,2,6,1,13
TrSC58v2_14.t1,1,1,2,1,1,15
TrSC58v2_15.t1.e1,4,1,4,7,4,17
TrSC58v2_15.t1,1,1,5,1,5,21
TrSC58v2_17.t1.e1,7,2,11,20,26,51
TrSC58v2_17.t1,5,1,10,17,23,44
TrSC58v2_18.t1.e1,1,7,11,12,8,18
TrSC58v2_18.t1,1,5,9,11,7,16
TrSC58v2_9455.t1,0,0,1,1,0,3
TrSC58v2_9455.t1.e1,0,0,1,1,0,3
TrSC58v2_9457.t1,0,0,2,2,0,2
TrSC58v2_9457.t1.e1,0,0,2,3,0,3
TrSC58v2_9456.t1,0,0,2,2,0,2
TrSC58v2_9456.t1.e1,0,0,2,3,0,3
TrSC58v2_8.t1,0,0,0,2,1,1
TrSC58v2_8.t1.e1,0,0,0,2,1,1
TrSC58v2_4.t1,2,0,2,1,1,1
TrSC58v2_4.t1.e1,0,0,2,1,2,1
TrSC58v2_5.t1.e1,3,4,8,23,7,50
TrSC58v2_5.t1,2,3,0,1,1,2
TrSC58v2_6.t1.e1,3,5,2,1,1,9
TrSC58v2_6.t1,2,0,1,1,1,9
TrSC58v2_7.t1.e1,9,4,19,10,7,35
TrSC58v2_7.t1,3,3,3,1,1,30
TrSC58v2_9.t1.e1,8,11,34,61,13,43
TrSC58v2_9.t1,0,8,1,1,10,38
TrSC58v2_10.t1,8,6,19,37,25,96
TrSC58v2_10.t1.e1,6,7,19,42,29,107
TrSC58v2_20.t1.e1,7,10,10,22,13,48
TrSC58v2_20.t1,6,8,5,18,10,36
TrSC58v2_23.t1,0,0,2,2,4,1
TrSC58v2_23.t1.e1,2,2,2,3,5,10
TrSC58v2_19.t1.e1,3,7,21,21,15,32
TrSC58v2_19.t1,2,5,14,18,12,31
TrSC58v2_22.t1.e1,2,0,0,0,0,2
TrSC58v2_22.t1,0,0,0,0,0,1
TrSC58v2_25.t1,0,0,2,0,4,1
TrSC58v2_25.t1.e1,2,2,2,4,5,10
TrSC58v2_27.t1,0,0,2,0,4,4
TrSC58v2_27.t1.e1,2,2,2,4,5,6
TrSC58v2_31.t1.e1,3,4,4,4,12,11
TrSC58v2_31.t1,0,0,3,0,0,9
TrSC58v2_33.t1.e1,5,4,0,6,5,21
